
Zo&#x00F6;l.,Zo&#x00F6;logy
Zeph.,Zephaniah
Zech.,Zechariah
Westm. Rev.,Westminster Review
Westm. Cat.,Westminster Catechism
Wall.,Wallachian
W.,Welsh
v. t.,verb transitive
Vitr.,Vitruvius
v. i.,verb intransitive
Veter.,Veterinary
vb. n.,verbal noun
var.,variety
v.,verb
usu.,usually
U. S. Int. Rev. Statutes;United States Internal Revenue Statutes
U. S. Pharm.,United States Pharmacop&#x0153;ia
U. S. Disp.,United States Dispensatory
U. S.,United States
Up.,Upper
Univ.,University
Typog.,Typography
Turk.,Turkish
Trig.,Trigonometry
Treas.,Treasury
Trans.,Translation
Todd &#x26; B.,Todd &#x26; Bowman
Tim.,Timothy
Thes.,Thessalonians
Theol.,Theology
Test.,Testament
term.,termination
Teleg.,Telegraphy
Tart.,Tartaric
Syr.,Syriac
Synop.,Synopsis
Syn.,Synonyms
Syd. Soc. Lex.,Sydenham Society Lexicon
Sw.,Swedish
Surv.,Surveying
Surg.,Surgery
superl.,superlative
subj.,subjunctive
Stat.,Statuary
Specif.,Specifically
Sp.,Spanish
Slav.,Slavonic
Skr.,Sanskrit
sing.,singular
Shak.,Shakespeare
Serv.,Servian
Serb;Serbian
Sculp.,Sculpture
Script.,Scripture
Scot.,Scottish
Sci. Am.,Scientific American
Sci.,Science
Scand.,Scandinavian
sc.,<it>scilicet</it> [being understood]
Sax.,Saxon
Sat. Rev.,Saturday Review
Russ.,Russian
Rpts.,reports
Rom. of R.,Romaunt of the Rose
Rom. Cath.,Roman Catholic
R. of Gl.,Robert of Gloucester
R. of Brunne;Robert of Brunne
Rhet.,Rhetoric
Rev. Ver.,Revised Version (of the Bible)
Rep. Sec. of War;Report of Secretary of War
R. C. Ch.,Roman Catholic Church
R. C.,Roman Catholic
R.,Rare
q. v.,q.v. (<it>quod vide</it> [which see])
Quart. Rev.,Quarterly Review
Pyro.-elect.,Pyro-electricity
Psa.,Psalms
Ps.,Psalms
Pros.,Prosody
prop.,proper
pron.,pronounced
prob.,probably
priv.,privative
Print.,Printing
prin.,principally
pret.,preterit
prep.,preposition
pref.,prefix
Pref.,Preface
Pr.,Proven&#x00E7;al
p. ple.,participle present
p. pr.,participle present
P. Plowman;Piers Plowman
p. p.,participle past
pp.,pages
Pop. Sci. Monthly;Polular Science Monthly
Polit. Econ.,Political Economy
Pol. Econ.,Political Economy
Pol.,Polish
Poet.,Poetry
pl.,plural
Physiol.,Physiology
Phys. Sci.,Physical Science
Phys.,Physics
Phren.,Phrenology
Phr.,Phrase
Photom.,Photometry
Photog.,Photography
Phon.,Phonetics
Philos.,Philosophy
Philol.,Philology
Philem.,Philemon
Phil.,Phillipians
Pharm.,Pharmacop&#x0153;ia
Pg.,Portuguese
Pet.,Peter
Peruv.,Peruvian
Pert.,Pertaining
Persp.,Perspective
pers.,person
perh.,perhaps
Per.,Persian
P. Cyc.,Penny Cyclopedia
Pathol.,Pathology
pass.,passive
Paleon.,Paleontology
Paint.,Painting
p. a.,participial adjective
Oxf. Gloss.,Oxford Glossary of Architecture
OSp.,Old Spanish
OSlav.,Old Slavic
OS.,Old Saxon
Ornith.,Ornithology
orig.,original
Opt.,Optics
OPol.,Old Polish
OPg.,Old Portuguese
OPer.,Old Persian
ON.,Old Norse
OLG.,Old Low Greman
OL.,Old Latin
OIt.,Old Italian
OIr.,Old Irish
OIcel.,Old Icelandic
OHG.,Old High German
OGr.,Old Greek
OGael.,Old Gaelic
OFries.,Old Friesic
OFelm.,Old Flemish
OF.,Old French
OE.,Old English
ODan.,Old Danish
OD.,Old Dutch
OCelt.,Old Celtic
Obsoles.,Obsolescent
Obs.,Obsolete
Ob.,Obadiah
O.,Old
Numis.,Numismatics
Num.,Numbers
Norw.,Norwegian
North Am. Rev.,North American Review
Norm. F.,Norman French
nom.,nominative
NL.,New Latin
NHeb.,New Hebrew
NGr.,New Greek
NF.,New French
New Month. Mag.,New Monthly Magazine
