
amp,&#x26;
lt,&#x26;
gt,&#x003E;
nbsp,&#x00A0;
pound,&#x00A3;
sect,&#x00A7;
uml,&#x00A8;
deg,&#x00B0;
para,&#x00B6;
middot,&#x00B7;
iquest,&#x00BF;
Auml,&#x00C4;
AElig,&#x00C6;
Ccedil,&#x00C7;
Eacute,&#x00C9;
ETH,&#x00D0;
times,&#x00D7;
Uuml,&#x00DC;
agrave,&#x00E0;
aacute,&#x00E1;
acirc,&#x00E2;
atilde,&#x00E3;
auml,&#x00E4;
aring,&#x00E5;
aelig,&#x00E6;
ccedil,&#x00E7;
egrave,&#x00E8;
eacute,&#x00E9;
ecirc,&#x00EA;
euml,&#x00EB;
igrave,&#x00EC;
iacute,&#x00ED;
icirc,&#x00EE;
iuml,&#x00EF;
eth,&#x00F0;
ntilde,&#x00F1;
ograve,&#x00F2;
oacute,&#x00F3;
ocirc,&#x00F4;
ouml,&#x00F6;
divide,&#x00F7;
ugrave,&#x00F9;
uacute,&#x00FA;
ucirc,&#x00FB;
uuml,&#x00FC;
thorn,&#x00FE;
amacr,&#x0101;
abreve,&#x0103;
cacute,&#x0107;
ccaron,&#x010D;
emacr,&#x0113;
ebreve_,&#x0115;
imacr,&#x012B;
ibreve_,&#x012D;
Omacr,&#x014C;
omacr,&#x014D;
obreve_,&#x014F;
OElig,&#x0152;
oelig,&#x0153;
umacr,&#x016B;
ubreve,&#x016D;
uring,&#x016F;
zdot,&#x017C;
aemacr_,&#x01E3;
yogh_,&#x021D;
adot_,&#x0227;
ymacr_,&#x0233;
schwa_,&#x0259;
asper_,&#x02BD;
breve,&#x02D8;
Alpha,&#x0391;
Beta,&#x0392;
Gamma,&#x0393;
Delta,&#x0394;
Epsilon,&#x0395;
Zeta,&#x0396;
Eta,&#x0397;
Theta,&#x0398;
Iota,&#x0399;
Kappa,&#x039A;
Lambda,&#x039B;
Mu,&#x039C;
Nu,&#x039D;
Xi,&#x039E;
Omicron,&#x039F;
Pi,&#x03A0;
Rho,&#x03A1;
Sigma,&#x03A3;
Tau,&#x03A4;
Upsilon,&#x03A5;
Phi,&#x03A6;
Chi,&#x03A7;
Psi,&#x03A8;
Omega,&#x03A9;
alpha,&#x03B1;
beta,&#x03B2;
gamma,&#x03B3;
delta,&#x03B4;
epsilon,&#x03B5;
zeta,&#x03B6;
eta,&#x03B7;
theta,&#x03B8;
iota,&#x03B9;
kappa,&#x03BA;
lambda,&#x03BB;
mu,&#x03BC;
nu,&#x03BD;
xi,&#x03BE;
omicron,&#x03BF;
pi,&#x03C0;
rho,&#x03C1;
sigmav,&#x03C2;
sigma,&#x03C3;
tau,&#x03C4;
upsilon,&#x03C5;
phi,&#x03C6;
chi,&#x03C7;
psi,&#x03C8;
omega,&#x03C9;
digamma_,&#x03DD;
dsdot_,&#x1E0D;
hsdot_,&#x1E25;
lsdot_,&#x1E37;
mdot_,&#x1E41;
msdot_,&#x1E43;
ndot_,&#x1E45;
nsdot_,&#x1E47;
nsmacr_,&#x1E49;
rsdot_,&#x1E5B;
tsdot_,&#x1E6D;
usuml_,&#x1E73;
zsdot_,&#x1E93;
etilde_,&#x1EBD;
usdot_,&#x1EE5;
mdash,&#x2014;
Verbar,&#x2016;
lsquo,&#x2018;
rsquo,&#x2019;
ldquo,&#x201C;
rdquo,&#x201D;
dagger,&#x2020;
Dagger,&#x2021;
bull,&#x2022;
prime,&#x2032;
bprime,&#x2032;
Prime,&#x2033;
asterism_,&#x2042;
ounce_,&#x2125;
rarr,&#x2192;
nabla,&#x2207;
radic,&#x221A;
cuberoot_,&#x221B;
int,&#x222B;
frown,&#x2322;
smile,&#x2323;
sun_,&#x2609;
ascendnode_,&#x260A;
descendnode_,&#x260B;
hand_,&#x261E;
mercury_,&#x263F;
male,&#x2642;
jupiter_,&#x2643;
aries_,&#x2648;
taurus_,&#x2649;
gemini_,&#x264A;
cancer_,&#x264B;
leo_,&#x264C;
virgo_,&#x264D;
libra_,&#x264E;
scorpius_,&#x264F;
sagittarius_,&#x2650;
capricorn_,&#x2651;
aquarius_,&#x2652;
pisces_,&#x2653;
flat,&#x266D;
natur,&#x266E;
sharp,&#x266F;
sext,&#x2736;
filig,&#xFB01;
fllig,&#xFB02;
ffllig,&#xFB04;
Crev_,&#xFFFD;
aitalic_,&#x1D622;
asuml_,a;
auptack_,a
csdot_,c
deletemark_,&#x232b;
eitalic_,&#x1D626;
euptack_,e
iuptack_,i
ltilde_,l
mtilde_,m
ncirc_,n
nsmallcap_,&#x274;
oobreve_,oo
oomacr_,oo
ouptack_,o
pause_,&#x23f8;
thlig_,th
unr_,&#xFFFD;
uuptack_,u
withdot_,&#xFFFD;
ybreve_,y
dotted2_,&#xFFFD;
dotted3_,&#xFFFD;

